name,optionalIn,flags,requiredIn,cardinality,callback,immutable,type,value,max,min,since
c,account,domainAdminModifiable,,,,,,,,,
co,account,domainAdminModifiable,,,,,,,,,
company,account,domainAdminModifiable,,,,,,,,,
cn,"account,alias,distributionList","domainAdminModifiable,accountInfo","cos,server,alwaysOnCluster,ucService,mimeEntry,objectEntry,zimletEntry,xmppComponent,aclTarget,shareLocator,groupStaticUnit",,,,,,,,
description,"account,distributionList,group,groupDynamicUnit,groupStaticUnit,cos,domain,server,alwaysOnCluster,ucService,mimeEntry,objectEntry,aclTarget,globalConfig,xmppComponent,zimletEntry,calendarResource",domainAdminModifiable,,multi,,,,,,,
destinationIndicator,account,domainAdminModifiable,,,,,,,,,
displayName,"account,distributionList,group,groupDynamicUnit","accountInfo,domainAdminModifiable",calendarResource,,DisplayName,,,,,,
facsimileTelephoneNumber,account,domainAdminModifiable,,,,,,,,,
gn,account,domainAdminModifiable,,,,,,,,,
givenName,account,domainAdminModifiable,,,,,,,,,
homePhone,account,domainAdminModifiable,,,,,,,,,
initials,account,domainAdminModifiable,,,,,,,,,
internationaliSDNNumber,account,domainAdminModifiable,,,,,,,,,
l,account,domainAdminModifiable,,,,,,,,,
mail,"account,distributionList,group,groupDynamicUnit",idn,,,,1,,,,,
mobile,account,domainAdminModifiable,,,,,,,,,
o,account,domainAdminModifiable,,,,,,,,,
ou,account,domainAdminModifiable,,,,,,,,,
pager,account,domainAdminModifiable,,,,,,,,,
physicalDeliveryOfficeName,account,domainAdminModifiable,,,,,,,,,
postOfficeBox,account,domainAdminModifiable,,,,,,,,,
postalAddress,account,domainAdminModifiable,,,,,,,,,
postalCode,account,domainAdminModifiable,,,,,,,,,
preferredDeliveryMethod,account,domainAdminModifiable,,,,,,,,,
registeredAddress,account,domainAdminModifiable,,,,,,,,,
sn,account,domainAdminModifiable,,,,,,,,,
st,account,domainAdminModifiable,,,,,,,,,
street,account,domainAdminModifiable,,,,,,,,,
streetAddress,account,domainAdminModifiable,,,,,,,,,
telephoneNumber,account,domainAdminModifiable,,,,,,,,,
teletexTerminalIdentifier,account,domainAdminModifiable,,,,,,,,,
telexNumber,account,domainAdminModifiable,,,,,,,,,
title,account,domainAdminModifiable,,,,,,,,,
uid,alias,accountInfo,"account,distributionList",,,1,,,,,
userCertificate,account,,,multi,,,certificate,,,,
userPassword,account,,,,,,,,,,
userSMIMECertificate,account,,,multi,,,binary,,,,
x121Address,account,domainAdminModifiable,,,,,,,,,
zimbraId,,accountInfo,"account,alias,distributionList,cos,domain,server,alwaysOnCluster,ucService,calendarResource,xmppComponent,group,groupDynamicUnit,groupStaticUnit",single,,1,id,,,,
zimbraAccountStatus,calendarResource,domainAdminModifiable,account,single,AccountStatus,,enum,"active,maintenance,locked,closed,lockout,pending",,,
zimbraMailAddress,mailRecipient,,,multi,,1,email,,256,,
zimbraMailHost,"mailRecipient,group",,,single,MailHost,,astring,,256,,
zimbraNotes,"account,distributionList,group,cos,domain,server",domainAdminModifiable,,single,,,,,1024,,
zimbraMemberOf,account,,,multi,,1,id,,,,
zimbraMailForwardingAddress,"mailRecipient,groupStaticUnit","accountInfo,domainAdminModifiable",,multi,,,email,,256,,
zimbraMailDeliveryAddress,mailRecipient,,,multi,,1,email,,256,,
zimbraCOSId,account,,,single,CosId,,id,,,,
zimbraMailStatus,"mailRecipient,group,groupDynamicUnit,domain",domainAdminModifiable,,single,,,enum,"enabled,disabled",,,
zimbraMailQuota,"account,cos","accountInfo,accountInherited,domainAdminModifiable",,single,,,long,,,,
zimbraPrefMailSignature,"account,identity,signature",domainAdminModifiable,,single,MailSignature,,,,,,
zimbraPrefMailSignatureEnabled,"account,identity",domainAdminModifiable,,single,,,boolean,,,,
zimbraMailAlias,"mailRecipient,group,groupDynamicUnit",accountInfo,,multi,,1,email,,256,,
